;GridID;Longitude.grid;Latitude.grid;Distrito
0;1;2,08;41,41; Sarria-Sant Gervasi
471;2;2,0825;41,42; Sarria-Sant Gervasi
1;3;2,085;41,42; Sarria-Sant Gervasi
1391;4;2,0875;41,4275; Sarria-Sant Gervasi
2761;5;2,09;41,42; Sarria-Sant Gervasi
3667;6;2,0925;41,415; Sarria-Sant Gervasi
963;7;2,0925;41,4225; Sarria-Sant Gervasi
473;8;2,0925;41,4275; Sarria-Sant Gervasi
1393;9;2,0925;41,43; Sarria-Sant Gervasi
2;10;2,095;41,415; Sarria-Sant Gervasi
475;11;2,095;41,4175; Sarria-Sant Gervasi
1394;12;2,095;41,42; Sarria-Sant Gervasi
3;13;2,095;41,4225; Sarria-Sant Gervasi
4;14;2,095;41,425; Sarria-Sant Gervasi
1396;15;2,0975;41,4125; Sarria-Sant Gervasi
2312;16;2,0975;41,4175; Sarria-Sant Gervasi
966;17;2,0975;41,42; Sarria-Sant Gervasi
967;18;2,0975;41,425; Sarria-Sant Gervasi
968;19;2,0975;41,4275; Sarria-Sant Gervasi
477;20;2,0975;41,43; Sarria-Sant Gervasi
4526;21;2,1;41,38; Esplugues de Llobregat
5;22;2,1;41,3825; Esplugues de Llobregat
6;23;2,1;41,4075; Sarria-Sant Gervasi
479;24;2,1;41,4175; Sarria-Sant Gervasi
7;25;2,1;41,425; Sarria-Sant Gervasi
8;26;2,1025;41,335; el Prat de Llobregat
481;27;2,1025;41,38; l'Hospitalet de Llobregat
482;28;2,1025;41,3825;Ciutat Vella
1821;29;2,1025;41,385; Esplugues de Llobregat
9;30;2,1025;41,3875; les Corts
5870;31;2,1025;41,39;Ciutat Vella
10;32;2,1025;41,3925; les Corts
1827;33;2,1025;41,395; Sarria-Sant Gervasi
5871;34;2,1025;41,405; Sarria-Sant Gervasi
971;35;2,1025;41,4075; Sarria-Sant Gervasi
972;36;2,1025;41,41; Sarria-Sant Gervasi
1830;37;2,1025;41,4125; Sarria-Sant Gervasi
1401;38;2,1025;41,415; Sarria-Sant Gervasi
483;39;2,1025;41,4175; Sarria-Sant Gervasi
1403;40;2,105;41,3375;Prat del Llobregat
11;41;2,105;41,3775; l'Hospitalet de Llobregat
974;42;2,105;41,38;les Corts
12;43;2,105;41,3825; les Corts
1405;44;2,105;41,385;les Corts
485;45;2,105;41,3875;les Corts
486;46;2,105;41,39;Ciutat Vella
978;47;2,105;41,3925; Sarria-Sant Gervasi
2321;48;2,105;41,395;Ciutat Vella
979;49;2,105;41,405; Sarria-Sant Gervasi
980;50;2,105;41,4075; Sarria-Sant Gervasi
3224;51;2,105;41,41; Sarria-Sant Gervasi
3225;52;2,105;41,4125; Sarria-Sant Gervasi
487;53;2,105;41,415; Sarria-Sant Gervasi
982;54;2,105;41,4175; Sarria-Sant Gervasi
13;55;2,1075;41,335; Sants-Montjuic
490;56;2,1075;41,3375; l'Hospitalet de Llobregat
983;57;2,1075;41,375;Hospitalet del Llobregat
2781;58;2,1075;41,3775;Hospitalet del Llobregat
14;59;2,1075;41,38; les Corts
15;60;2,1075;41,3825; les Corts
984;61;2,1075;41,385;les Corts
4536;62;2,1075;41,3875; les Corts
5452;63;2,1075;41,39; les Corts
492;64;2,1075;41,3925;les Corts
4125;65;2,1075;41,395; les Corts
4999;66;2,1075;41,4; les Corts
16;67;2,1075;41,4025; Sarria-Sant Gervasi
5887;68;2,1075;41,405; Sarria-Sant Gervasi
493;69;2,1075;41,4075;Ciutat Vella
2783;70;2,1075;41,41; Sarria-Sant Gervasi
1410;71;2,1075;41,415; Sarria-Sant Gervasi
